D‚formation,Contrainte (MPa)
-0.004773005,-152.3632364
-0.004643542,-143.6994282
-0.004509249,-134.6906818
-0.004374129,-126.0965878
-0.004242534,-117.2177911
-0.00410228,-108.412306
-0.003974196,-99.82323315
-0.003845892,-90.65781092
-0.003709992,-82.02410482
-0.003580099,-73.29470168
-0.003443628,-64.33627995
-0.003321718,-55.88551021
-0.003179931,-47.01526522
-0.003051538,-38.17998903
-0.00291589,-29.80541824
-0.002787857,-20.97834925
-0.002653948,-12.39448553
-0.002519726,-4.011883546
-0.00239497,4.976337969
-0.002257413,13.01770721
-0.002133807,21.55776357
-0.001994972,29.98236674
-0.001865266,38.20937502
-0.001733603,46.63302614
-0.001599914,55.00634842
-0.001475647,62.83193686
-0.001339591,71.38631855
-0.001209797,79.29240475
-0.001080464,87.19011673
-0.00094753,95.04284884
-0.000810646,102.3659213
-0.000686417,109.1572464
-0.000558311,115.2084664
-0.000420132,120.5362421
-0.000291296,125.552207
-0.000155294,129.5325744
-3.13518E-05,133.5138896
0.000106433,136.5554025
0.000235895,139.2318339
0.000364579,142.0126227
0.000499851,144.3797946
0.000630708,146.2812399
0.000763813,148.5395532
0.00088619,150.2768421
0.001023368,151.9885239
0.001149115,153.7451584
0.001285984,154.9719454
0.001420022,156.472495
0.001549774,157.9871393
0.001678826,158.9911002
0.001811928,160.3558625
0.0019464,161.5205203
0.002071742,162.4067807
0.002207888,163.6372381
0.002333213,164.3559994
0.002465246,165.3392784
0.002597267,166.479014
0.002728171,167.0434399
0.002854912,167.9715567
0.002989512,168.9032751
0.003123725,169.347637
0.003250751,170.1969055
0.003374588,170.8992587
0.003514368,171.4964862
0.003647783,172.3557199
0.003771439,172.8226887
0.003899794,173.3762204
0.00403777,174.0613658
0.004166426,174.5191357
0.004292992,175.1136095
0.004429457,175.765544
0.004559539,176.0327028
0.004688098,176.821147
0.004817907,177.1480861
0.004889922,175.0423127
0.004756364,166.0711887
0.004630722,157.0147566
0.00449854,148.0782277
0.004362361,139.579503
0.004229076,130.639573
0.004095909,121.7310835
0.003963054,113.2737559
0.003830704,104.4062627
0.003698739,95.72653487
0.003572141,86.98358599
0.003437862,78.3776165
0.003299844,69.82733946
0.003171212,61.03005939
0.003037039,52.33401952
0.002911404,43.97492569
0.002777272,35.19137301
0.002640323,26.83872008
0.002518544,18.40154848
0.002381259,9.6999901
0.002249561,1.388041828
0.00211334,-7.045257086
0.001986856,-15.63811552
0.001863819,-23.65962652
0.001723353,-32.04985592
0.001595432,-40.35330324
0.001465918,-48.4273165
0.001331007,-56.80282681
0.001201272,-64.84845832
0.001069659,-72.71939408
0.000936069,-80.81412681
0.000809881,-88.3120558
0.000675273,-95.4673766
0.000546106,-102.4821792
0.000410196,-108.2970273
0.000276892,-113.9572457
0.000153053,-118.6359889
2.31413E-05,-122.4482789
-0.000118355,-126.3877481
-0.000242902,-129.7253151
-0.000372807,-132.4660262
-0.000518506,-135.3483203
-0.000643804,-137.6408695
-0.000768812,-139.8395006
-0.000900424,-142.0776205
-0.001036902,-143.6457651
-0.00116546,-145.5406693
-0.001300123,-147.2882511
-0.00142471,-148.4832804
-0.001553712,-150.1306137
-0.00168772,-151.4688691
-0.001817411,-152.5549583
-0.001949004,-154.0146013
-0.002078808,-155.0155933
-0.002217331,-155.987667
-0.002347828,-157.2616072
-0.002477022,-158.043836
-0.002600545,-159.0428237
-0.002734594,-159.9902341
-0.002867448,-160.6743523
-0.002992809,-161.7309156
-0.003122422,-162.4190299
-0.003258624,-163.0063758
-0.003388706,-164.0261415
-0.003521582,-164.5133684
-0.003650349,-165.1729714
-0.003779489,-166.0920021
-0.003909095,-166.4219728
-0.004041732,-167.1228436
